,feature_columns,best_val_loss,train_losses,val_losses,slice01-LUT,slice01-AI,slice02-LUT,slice02-AI,slice03-LUT,slice03-AI,slice04-LUT,slice04-AI,slice05-LUT,slice05-AI,slice06-LUT,slice06-AI,slice07-LUT,slice07-AI,slice08-LUT,slice08-AI,slice09-LUT,slice09-AI,slice10-LUT,slice10-AI,ALL-LUT,ALL-AI,Mean-ALL-LUT,MeanALL-AI,Mean-value-ALL-LUT,Mean-value-ALL-AI
30,"['Enthalpy Temperature', 'Enthalpy value of air', 'Enthalpy value of water', 'Heated Length', 'Inlet Subcooling', 'Inlet Temperature', 'Mass Flux', 'Outlet Quality', 'Pressure', 'Tube Diameter']",0.00128636932073932,[0.0006409494493826954],[0.0006454198713566245],"[0.37401296662801703, 0.49683045011672206, 0.3394524872292868, 0.34206832467477005, 1.755784205844548]","[1.0900616573847994, 3.2968476703581486, 3.1114257414641053, 2.8518850986823048, 122.0420417424571]","[0.8290069569914742, 1.3574797707889572, 1.0749412976348875, 0.9373657822194144, 9.932341980588646]","[1.1316695228481357, 2.5271924527145546, 2.2596516953092745, 1.966570765036602, 43.717229333194716]","[0.5138666883098689, 0.5533054478254262, 0.3721648146599108, 0.36217819665882633, 0.608289635850556]","[1.4847726986407574, 2.425231232918425, 1.924036563133585, 1.4446818666823147, 9.678549070563143]","[0.410550099569674, 0.5270294045517637, 0.4224104681671556, 0.27764114485432123, 0.12312248317946604]","[3.707623764195559, 4.941223907845958, 3.2966249844495783, 1.3258761622160715, 2.807861214574324]","[0.08172655970203653, 0.08260851297207729, 0.06730025920137324, 0.08482668923302038, 0.0834527904262718]","[0.22232300907241395, 0.4057742993129851, 0.3479844305422658, 0.49668784097417634, 2.861164883007833]","[0.2685326025260461, 0.2696014197479791, 0.2269476916018395, 0.24079748406472126, 0.6834820731721428]","[0.4721705557783401, 0.5908724635465181, 0.3927026467600499, 0.35861027687157415, 1.5158935342923778]","[0.07164169245037971, 0.07304895511789396, 0.06086038766632732, 0.07042817143283596, 0.23545981381199108]","[0.1362079978982144, 0.1386848733627714, 0.12212018127222282, 0.15251393301712643, 1.1041879729672857]","[0.08106761976957315, 0.11669296763311933, 0.10333631855024841, 0.13106486725954, 0.09698744627920293]","[0.9246539239898833, 1.5744215414418272, 1.2742912975478446, 1.0001541165149463, 5.6477672917595365]","[0.17313162579418948, 0.18922206715220344, 0.13994327684874608, 0.1729572122340086, 0.23380102201432135]","[0.8727787601934365, 0.9663930564351196, 0.5162965687144064, 0.3808290967215388, 1.1335202872828682]","[0.09044425424199404, 0.10618118833261951, 0.09473935967234563, 0.11097349207676184, 0.11512459179966307]","[0.2577475488160501, 0.44572528402588624, 0.4072018256887494, 0.5498122512897113, 2.8259106364538136]","[0.3616168519294398, 0.3630323728777596, 0.19772718873972955, 0.21336649141264233, 0.058747223179524896]","[1.6856127499781968, 1.8181364396365214, 1.0084159247797215, 0.8845266811758201, 1.0096173084269124]","[0.3616168519294398, 0.3630323728777596, 0.19772718873972955, 0.21336649141264233, 0.058747223179524896]","[1.6856127499781968, 1.8181364396365214, 1.0084159247797215, 0.8845266811758201, 1.0096173084269124]",0.23889802562781925,1.2812618207994344
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
