Number,Reference ID,Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,CHF,Hw,Hg,Tsat,H/D,TinK,RQufP,Roufg,Rouin,Sigmaf
9141,31,0.00795,2.0,9800.0,985.0,0.521,549.0,198.8,1209.0,1399.1843340369703,2729.08724642355,582.6677976573421,251.57232704402517,471.95,691.7453887617045,54.08976404651901,866.0645769386662,0.0379483023585174
9142,31,0.00795,2.0,9800.0,985.0,0.536,457.0,219.26,1139.0,1399.1843340369703,2729.08724642355,582.6677976573421,251.57232704402517,492.41,691.7453887617045,54.08976404651901,841.1709159770562,0.0332384591605215
9143,31,0.00795,2.0,9800.0,985.0,0.546,363.0,239.59,1058.0,1399.1843340369703,2729.08724642355,582.6677976573421,251.57232704402517,512.74,691.7453887617045,54.08976404651901,813.9425498603325,0.0284900299079453
9154,31,0.00795,2.0,9800.0,1495.0,0.367,549.0,198.8,1535.0,1399.1843340369703,2729.08724642355,582.6677976573421,251.57232704402517,471.95,691.7453887617045,54.08976404651901,866.0645769386662,0.0379483023585174
9155,31,0.00795,2.0,9800.0,1495.0,0.39,459.0,218.82,1465.0,1399.1843340369703,2729.08724642355,582.6677976573421,251.57232704402517,491.97,691.7453887617045,54.08976404651901,841.73132944236,0.0333405859926655
9156,31,0.00795,2.0,9800.0,1495.0,0.407,366.0,238.95,1349.0,1399.1843340369703,2729.08724642355,582.6677976573421,251.57232704402517,512.0999999999999,691.7453887617045,54.08976404651901,814.8419160691385,0.0286402287343343
9167,31,0.00795,2.0,9800.0,2004.0,0.238,551.0,198.35,1721.0,1399.1843340369703,2729.08724642355,582.6677976573421,251.57232704402517,471.5,691.7453887617045,54.08976404651901,866.5865367346377,0.038050886652544
9168,31,0.00795,2.0,9800.0,2004.0,0.296,457.0,219.26,1686.0,1399.1843340369703,2729.08724642355,582.6677976573421,251.57232704402517,492.41,691.7453887617045,54.08976404651901,841.1709159770562,0.0332384591605215
9169,31,0.00795,2.0,9800.0,2004.0,0.318,363.0,239.59,1558.0,1399.1843340369703,2729.08724642355,582.6677976573421,251.57232704402517,512.74,691.7453887617045,54.08976404651901,813.9425498603325,0.0284900299079453
9174,31,0.00795,2.0,9800.0,2004.0,0.255,551.0,198.35,1756.0,1399.1843340369703,2729.08724642355,582.6677976573421,251.57232704402517,471.5,691.7453887617045,54.08976404651901,866.5865367346377,0.038050886652544
9180,31,0.00795,2.0,9800.0,2804.0,0.137,553.0,197.9,2035.0,1399.1843340369703,2729.08724642355,582.6677976573421,251.57232704402517,471.05,691.7453887617045,54.08976404651901,867.10744618463,0.0381534230883638
9181,31,0.00795,2.0,9800.0,2804.0,0.157,462.0,218.16,1860.0,1399.1843340369703,2729.08724642355,582.6677976573421,251.57232704402517,491.31,691.7453887617045,54.08976404651901,842.5697860720571,0.0334937152066253
9182,31,0.00795,2.0,9800.0,2804.0,0.196,363.0,239.59,1732.0,1399.1843340369703,2729.08724642355,582.6677976573421,251.57232704402517,512.74,691.7453887617045,54.08976404651901,813.9425498603325,0.0284900299079453
9276,31,0.0085,1.8,9800.0,1645.0,0.336,401.0,231.45,1651.0,1399.1843340369703,2729.08724642355,582.6677976573421,211.76470588235293,504.6,691.7453887617045,54.08976404651901,825.1695289047238,0.0303974220908792
9277,31,0.0085,1.8,9800.0,1655.0,0.359,301.0,252.62,1523.0,1399.1843340369703,2729.08724642355,582.6677976573421,211.76470588235293,525.77,691.7453887617045,54.08976404651901,794.9696025975793,0.0254263358468732
9278,31,0.0085,1.8,9800.0,1655.0,0.356,306.0,251.58,1523.0,1399.1843340369703,2729.08724642355,582.6677976573421,211.76470588235293,524.73,691.7453887617045,54.08976404651901,796.532379468658,0.0256711423400206
17022,39,0.008,1.57,9800.0,1001.0,0.476,549.0,198.8,1505.0,1399.1843340369703,2729.08724642355,582.6677976573421,196.25,471.95,691.7453887617045,54.08976404651901,866.0645769386662,0.0379483023585174
17023,39,0.008,1.57,9800.0,996.0,0.493,512.0,207.09,1480.0,1399.1843340369703,2729.08724642355,582.6677976573421,196.25,480.24,691.7453887617045,54.08976404651901,856.2574209286986,0.0360502561828277
17024,39,0.008,1.57,9800.0,1007.0,0.49,457.0,219.26,1421.0,1399.1843340369703,2729.08724642355,582.6677976573421,196.25,492.41,691.7453887617045,54.08976404651901,841.1709159770562,0.0332384591605215
17025,39,0.008,1.57,9800.0,1001.0,0.489,411.0,229.29,1353.0,1399.1843340369703,2729.08724642355,582.6677976573421,196.25,502.44,691.7453887617045,54.08976404651901,828.0737176144067,0.0309023325768442
17026,39,0.008,1.57,9800.0,1007.0,0.491,359.0,240.44,1298.0,1399.1843340369703,2729.08724642355,582.6677976573421,196.25,513.5899999999999,691.7453887617045,54.08976404651901,812.7435591605647,0.0282904942713638
17027,39,0.008,1.57,9800.0,996.0,0.505,310.0,250.75,1247.0,1399.1843340369703,2729.08724642355,582.6677976573421,196.25,523.9,691.7453887617045,54.08976404651901,797.7733248320383,0.025866496889802
17094,39,0.008,1.57,9800.0,1601.0,0.312,549.0,198.8,1960.0,1399.1843340369703,2729.08724642355,582.6677976573421,196.25,471.95,691.7453887617045,54.08976404651901,866.0645769386662,0.0379483023585174
17095,39,0.008,1.57,9800.0,1601.0,0.328,489.0,212.2,1884.0,1399.1843340369703,2729.08724642355,582.6677976573421,196.25,485.35,691.7453887617045,54.08976404651901,850.025779761839,0.0348730343821565
17096,39,0.008,1.57,9800.0,1601.0,0.326,439.0,223.2,1778.0,1399.1843340369703,2729.08724642355,582.6677976573421,196.25,496.35,691.7453887617045,54.08976404651901,836.1005630380698,0.0323225624983838
17097,39,0.008,1.57,9800.0,1601.0,0.339,392.0,233.39,1717.0,1399.1843340369703,2729.08724642355,582.6677976573421,196.25,506.54,691.7453887617045,54.08976404651901,822.5348366677348,0.0299434639954283
17098,39,0.008,1.57,9800.0,1601.0,0.346,344.0,243.62,1642.0,1399.1843340369703,2729.08724642355,582.6677976573421,196.25,516.77,691.7453887617045,54.08976404651901,808.2114854124246,0.0275435071774145
17126,39,0.008,2.44,9800.0,1590.0,0.381,544.0,199.93,1365.0,1399.1843340369703,2729.08724642355,582.6677976573421,305.0,473.08,691.7453887617045,54.08976404651901,864.7492286996223,0.0376904926778699
17127,39,0.008,2.44,9800.0,1579.0,0.398,503.0,209.09,1332.0,1399.1843340369703,2729.08724642355,582.6677976573421,305.0,482.24,691.7453887617045,54.08976404651901,853.8357491680478,0.0355901280642487
