Number,Reference ID,Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,CHF,H/D
1,1,-1.9849769452543127,-1.0909572636819076,-1.7095612191261527,-1.2786375779639265,1.7755363433628264,-0.4705329673474106,-1.923053262399764,-0.8582674022791379,-0.8193313576259141
2,1,-1.9849769452543127,-1.0909572636819076,-1.7095612191261527,-1.235493038400489,1.5921767208364928,-0.4705329673474106,-1.923053262399764,-0.6603560729728778,-0.8193313576259141
3,1,-1.9849769452543127,-1.0909572636819076,-1.7095612191261527,-1.1949954031047467,1.2621294002890917,-0.4705329673474106,-1.923053262399764,-0.5215039974913428,-0.8193313576259141
4,1,-1.9849769452543127,-1.0909572636819076,-1.7095612191261527,-1.1500642031606145,1.3721451738048922,-0.4705329673474106,-1.923053262399764,-0.3034873902873038,-0.8193313576259141
5,1,-1.9849769452543127,-1.0909572636819076,-1.7095612191261527,-1.051136156155493,0.9687540042469579,-0.4705329673474106,-1.923053262399764,-0.006306251360760774,-0.8193313576259141
6,1,-1.9849769452543127,-1.0909572636819076,-1.7095612191261527,-0.9702070581707011,0.8220663062258907,-0.4705329673474106,-1.923053262399764,0.27076960966800345,-0.8193313576259141
8,1,-1.9849769452543127,-1.0909572636819076,-1.7095612191261527,-0.6824223916655009,0.5286909101837568,-0.4705329673474106,-1.923053262399764,1.1032537726229075,-0.8193313576259141
9,1,-1.9849769452543127,-1.0909572636819076,-1.7095612191261527,-0.42156997608410307,0.3453312876574231,-0.4705329673474106,-1.923053262399764,1.7371983163372455,-0.8193313576259141
10,1,-1.9849769452543127,-1.0909572636819076,-1.7095612191261527,-0.24171283109418956,0.23531551414162274,-0.4705329673474106,-1.923053262399764,2.1537545427818503,-0.8193313576259141
12,1,-1.9849769452543127,-0.994065535828982,-1.7095612191261527,-1.2399927756555713,1.6655205698470263,-0.44924681117406046,-1.941671526466913,-0.8186851364178859,-0.625284074887867
13,1,-1.9849769452543127,-0.994065535828982,-1.7095612191261527,-1.1949954031047467,1.4454890228154258,-0.44924681117406046,-1.941671526466913,-0.6999383388341298,-0.625284074887867
14,1,-1.9849769452543127,-0.994065535828982,-1.7095612191261527,-1.1590636776707794,1.2988013247943586,-0.4279606550007103,-1.9602897905340628,-0.600668529213847,-0.625284074887867
16,1,-1.9849769452543127,-0.994065535828982,-1.7095612191261527,-0.9702070581707011,0.8954101552364243,-0.4279606550007103,-1.9602897905340628,-0.18474059270354773,-0.625284074887867
17,1,-1.9849769452543127,-0.994065535828982,-1.7095612191261527,-0.8712790111655794,0.8220663062258907,-0.4279606550007103,-1.9602897905340628,0.052753002463964485,-0.625284074887867
18,1,-1.9849769452543127,-0.994065535828982,-1.7095612191261527,-0.673422917155336,0.7487224572153576,-0.4279606550007103,-1.9602897905340628,0.5088914947698213,-0.625284074887867
20,1,-1.9849769452543127,-0.8971738079760564,-1.7095612191261527,-1.2399927756555713,1.4821609473206925,-0.4279606550007103,-1.9602897905340628,-0.9179549460381687,-0.43123679214981986
21,1,-1.9849769452543127,-0.8971738079760564,-1.7095612191261527,-1.1859959285945818,1.3354732492996253,-0.4279606550007103,-1.9602897905340628,-0.7992081484544127,-0.43123679214981986
22,1,-1.9849769452543127,-0.8971738079760564,-1.7095612191261527,-1.1680631521809446,1.4454890228154258,-0.4279606550007103,-1.9602897905340628,-0.7395206046953818,-0.43123679214981986
24,1,-1.9849769452543127,-0.8971738079760564,-1.7095612191261527,-0.9702070581707011,0.8954101552364243,-0.4340424139073818,-1.9549384331973971,-0.4228624778053655,-0.43123679214981986
25,1,-1.9849769452543127,-0.8971738079760564,-1.7095612191261527,-0.8622795366554145,0.8220663062258907,-0.4340424139073818,-1.9549384331973971,-0.22432285856479978,-0.43123679214981986
26,1,-1.9849769452543127,-0.8971738079760564,-1.7095612191261527,-0.8532800621452495,0.8587382307311575,-0.44924681117406046,-1.941671526466913,-0.20484587060132653,-0.43123679214981986
28,1,-1.9849769452543127,-0.7997927279622573,-1.7095612191261527,-1.2777773340769256,2.1789275129207604,-0.4340424139073818,-1.9549384331973971,-1.0128267261183126,-0.23620947263026743
29,1,-1.9849769452543127,-0.7997927279622573,-1.7095612191261527,-1.2399927756555713,1.9588959658891605,-0.4340424139073818,-1.9549384331973971,-0.9380602239359476,-0.23620947263026743
30,1,-1.9849769452543127,-0.7997927279622573,-1.7095612191261527,-1.1949954031047467,1.6288486453417597,-0.4340424139073818,-1.9549384331973971,-0.8582674022791379,-0.23620947263026743
32,1,-1.9849769452543127,-0.7997927279622573,-1.7095612191261527,-1.051136156155493,1.3354732492996253,-0.4340424139073818,-1.9549384331973971,-0.6207738071116257,-0.23620947263026743
33,1,-1.9849769452543127,-0.7997927279622573,-1.7095612191261527,-1.051136156155493,1.4088170983101589,-0.4340424139073818,-1.9549384331973971,-0.6207738071116257,-0.23620947263026743
34,1,-1.9849769452543127,-0.7997927279622573,-1.7095612191261527,-1.051136156155493,1.2621294002890917,-0.4340424139073818,-1.9549384331973971,-0.640250795075099,-0.23620947263026743
35,1,-1.9849769452543127,-0.7997927279622573,-1.7095612191261527,-1.051136156155493,1.5921767208364928,-0.4340424139073818,-1.9549384331973971,-0.5811915412503736,-0.23620947263026743
37,1,-1.6629208004150657,-1.0508303864902921,-1.7095612191261527,-1.2399927756555713,1.7388644188575595,-0.46445120844073917,-1.928293133125249,-0.6603560729728778,-0.8170446051357351
38,1,-1.6629208004150657,-1.0508303864902921,-1.7095612191261527,-1.1949954031047467,1.4088170983101589,-0.46445120844073917,-1.928293133125249,-0.4819217316300908,-0.8170446051357351
39,1,-1.6629208004150657,-1.0508303864902921,-1.7095612191261527,-1.1410647286504496,1.225457475783825,-0.46445120844073917,-1.928293133125249,-0.3034873902873038,-0.8170446051357351
41,1,-1.6629208004150657,-1.0508303864902921,-1.7095612191261527,-0.9702070581707011,0.7120505327100908,-0.46445120844073917,-1.928293133125249,0.21171035584327821,-0.8170446051357351
42,1,-1.6629208004150657,-1.0508303864902921,-1.7095612191261527,-0.8892779601859091,0.675378608204824,-0.46445120844073917,-1.928293133125249,0.4887862168720425,-0.8170446051357351
43,1,-1.6629208004150657,-1.0508303864902921,-1.7095612191261527,-0.8622795366554145,0.6387066836995572,-0.46445120844073917,-1.928293133125249,0.5283684827332945,-0.8170446051357351
45,1,-1.6629208004150657,-1.0508303864902921,-1.7095612191261527,-0.4125705015739382,0.27198743864688957,-0.46445120844073917,-1.928293133125249,1.6976160504759936,-0.8170446051357351
46,1,-1.6629208004150657,-0.9343645722024319,-1.7095612191261527,-1.2399927756555713,1.9588959658891605,-0.443165052267389,-1.947022883803579,-0.7992081484544127,-0.6226706434705195
47,1,-1.6629208004150657,-0.9343645722024319,-1.7095612191261527,-1.1949954031047467,1.5188328718259594,-0.4705329673474106,-1.923053262399764,-0.6999383388341298,-0.6226706434705195
49,1,-1.6629208004150657,-0.9343645722024319,-1.7095612191261527,-1.0601356306656577,1.0054259287522247,-0.4705329673474106,-1.923053262399764,-0.40275719990758674,-0.6226706434705195
50,1,-1.6629208004150657,-0.9343645722024319,-1.7095612191261527,-0.9612075836605362,0.8954101552364243,-0.4705329673474106,-1.923053262399764,-0.1652636047400745,-0.6226706434705195
51,1,-1.6629208004150657,-0.9343645722024319,-1.7095612191261527,-0.8892779601859091,0.8587382307311575,-0.4705329673474106,-1.923053262399764,0.01317073660271245,-0.6226706434705195
53,1,-1.6629208004150657,-0.9343645722024319,-1.7095612191261527,-0.7093546425893033,0.7120505327100908,-0.4705329673474106,-1.923053262399764,0.39014469718606515,-0.6226706434705195
54,1,-1.6629208004150657,-0.9343645722024319,-1.7095612191261527,-0.39463772516030066,0.6387066836995572,-0.4705329673474106,-1.923053262399764,1.0831484947251286,-0.6226706434705195
55,1,-1.6629208004150657,-0.8174094057536984,-1.7095612191261527,-1.1949954031047467,2.1055836639102274,-0.4705329673474106,-1.923053262399764,-0.7395206046953818,-0.4274799844873829
56,1,-1.6629208004150657,-0.8174094057536984,-1.7095612191261527,-1.1500642031606145,1.4454890228154258,-0.4705329673474106,-1.923053262399764,-0.6999383388341298,-0.4274799844873829
57,1,-1.6629208004150657,-0.8174094057536984,-1.7095612191261527,-1.0601356306656577,1.1887855512785586,-0.4705329673474106,-1.923053262399764,-0.5416092753891216,-0.4274799844873829
58,1,-1.6629208004150657,-0.8174094057536984,-1.7095612191261527,-0.9702070581707011,1.0054259287522247,-0.4705329673474106,-1.923053262399764,-0.3826519220098079,-0.4274799844873829
59,1,-1.6629208004150657,-0.8174094057536984,-1.7095612191261527,-0.8802784856757443,1.0420978532574914,-0.4705329673474106,-1.923053262399764,-0.20484587060132653,-0.4274799844873829
60,1,-1.6629208004150657,-0.8174094057536984,-1.7095612191261527,-0.7003551680791382,0.7120505327100908,-0.4705329673474106,-1.923053262399764,0.03327601450049126,-0.4274799844873829
61,1,-1.6629208004150657,-0.8174094057536984,-1.7095612191261527,-0.6014271210740166,0.49201898567849006,-0.4705329673474106,-1.923053262399764,0.11244054622299533,-0.4274799844873829
62,2,-2.0493881742221625,-0.8937483428499429,-0.32851446713430654,1.2256647223095385,-0.3220977383384318,-0.9053787291744212,0.7111523865739227,0.5101480746384325,-0.39174947682833583
63,2,-2.0493881742221625,-0.8937483428499429,-0.32851446713430654,1.2733089991280586,-0.6998185607426795,-0.2120582138138729,0.17066529557068771,0.7872239356671967,-0.39174947682833583
64,2,-2.0493881742221625,-0.8937483428499429,-0.32851446713430654,1.2733089991280586,-0.5201261306668723,-0.6104134222008546,0.4870642981010466,0.617585653404688,-0.39174947682833583
65,2,-2.0493881742221625,-0.8937483428499429,-0.32851446713430654,1.3050718503404055,-0.24875388932789844,-1.2277119512280095,0.943267511051797,0.33359860309856226,-0.39174947682833583
66,2,-2.0493881742221625,-0.8937483428499429,-0.32851446713430654,1.3527161271589256,-0.6741482135889928,-0.46445120844073917,0.372790521640998,0.6483718601856618,-0.39174947682833583
67,2,-2.0493881742221625,-0.8937483428499429,-0.32851446713430654,1.9720917257996875,-0.7328232927974195,-0.5526367125874756,0.4420237071841105,0.8305759411342822,-0.39174947682833583
68,2,-2.0493881742221625,-0.8937483428499429,-0.32851446713430654,1.9720917257996875,-0.6411434815342526,-0.6955580468942553,0.5527299120863818,0.7872239356671967,-0.39174947682833583
69,2,-2.0493881742221625,-0.8937483428499429,-0.32851446713430654,1.9720917257996875,-0.47245262881002553,-0.9631554387878002,0.7538517586560676,0.7049179542731647,-0.39174947682833583
