Number,Reference ID,Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,CHF,CHF LUT,AI CHF
-,-,m,m,kPa,kg/m^2/s,-,kJ/kg,C,kW/m^2,kW/m^2,kW/m^2
1,1,0.004,0.396,100,77.5,0.84,317,23.94,442,469.094638639156,1072.7983955732857
2,1,0.004,0.396,100,142.7,0.79,317,23.94,757,687.089931714041,1194.3447721522857
3,1,0.004,0.396,100,203.9,0.7,317,23.94,978,903.629433347819,1288.6601744557547
4,1,0.004,0.396,100,271.8,0.73,317,23.94,1325,873.622084295961,1407.035633691479
5,1,0.004,0.396,100,421.3,0.62,317,23.94,1798,1372.80114662612,1664.9251354470855
6,1,0.004,0.396,100,543.6,0.58,317,23.94,2239,1459.50097984951,1878.9546089757762
7,1,0.004,0.396,100,679.5,0.55,317,23.94,2712,1403.39341440738,2119.8894103187054
8,1,0.004,0.396,100,978.5,0.5,317,23.94,3564,1661.54537229653,2644.914207149698
9,1,0.004,0.396,100,1372.7,0.45,317,23.94,4573,1548.74543581995,3272.764094639143
10,1,0.004,0.396,100,1644.5,0.42,317,23.94,5236,1621.25018526383,3642.9432342519904
11,1,0.004,0.594,100,77.5,0.88,324,22.27,300,429.072394823997,858.7310459731714
12,1,0.004,0.594,100,135.9,0.81,324,22.27,505,648.410625097712,967.430105782185
13,1,0.004,0.594,100,203.9,0.75,324,22.27,694,797.682563662466,1083.6092746496415
14,1,0.004,0.594,100,258.2,0.71,331,20.6,852,910.584252804857,1177.656010618052
15,1,0.004,0.594,100,407.7,0.63,331,20.6,1199,1312.34705236858,1426.3378915879784
16,1,0.004,0.594,100,543.6,0.6,331,20.6,1514,1397.22263494932,1655.5794816396858
17,1,0.004,0.594,100,693.1,0.58,331,20.6,1892,1152.17370512681,1910.2574388069643
18,1,0.004,0.594,100,992.1,0.56,331,20.6,2618,1090.35571502545,2415.677929709136
19,1,0.004,0.792,100,78.8,0.74,331,20.6,196,599.791730590277,677.0587184178548
20,1,0.004,0.792,100,135.9,0.76,331,20.6,347,745.335236519192,772.3624086964192
21,1,0.004,0.792,100,217.5,0.72,331,20.6,536,868.13620846616,903.9446872009656
22,1,0.004,0.792,100,244.6,0.75,331,20.6,631,816.820762248671,944.9947591798056
23,1,0.004,0.792,100,407.7,0.64,329,21.08,915,1253.62395551138,1205.6494868950065
24,1,0.004,0.792,100,543.6,0.6,329,21.08,1135,1397.22263494932,1426.7893923842803
25,1,0.004,0.792,100,706.7,0.58,329,21.08,1451,1124.2161737808,1692.400774439465
26,1,0.004,0.792,100,720.3,0.59,324,22.27,1482,1008.84389597135,1706.9361378253243
27,1,0.004,0.792,100,203.9,0.75,324,22.27,505,797.682563662466,863.5622966014126
28,1,0.004,0.991,100,78.8,0.95,329,21.08,196,207.380276786391,506.5997951012007
29,1,0.004,0.991,100,135.9,0.89,329,21.08,315,524.916405662468,596.4866142408193
30,1,0.004,0.991,100,203.9,0.8,329,21.08,442,691.735693977114,701.4570748383935
31,1,0.004,0.991,100,271.8,0.81,329,21.08,568,699.245309414672,803.0039370250976
32,1,0.004,0.991,100,421.3,0.72,329,21.08,820,850.379201555647,1036.2138578661725
33,1,0.004,0.991,100,421.3,0.74,329,21.08,820,806.204685300005,1034.1945912907076
34,1,0.004,0.991,100,421.3,0.7,329,21.08,789,894.553717811289,1032.6653656593617
35,1,0.004,0.991,100,421.3,0.79,329,21.08,883,695.768394660899,1031.5205453915946
36,1,0.0048,0.478,100,69.3,0.99,319,23.47,442,34.0603065409968,1021.6756128631073
37,1,0.0048,0.478,100,135.9,0.83,319,23.47,757,563.731639109164,1129.6096092331811
38,1,0.0048,0.478,100,203.9,0.74,319,23.47,1041,747.524386552049,1241.7914651201118
39,1,0.0048,0.478,100,285.4,0.69,319,23.47,1325,907.899850239037,1386.5459360529803
40,1,0.0048,0.478,100,407.7,0.58,319,23.47,1672,1376.97777740829,1610.4322006171788
41,1,0.0048,0.478,100,543.6,0.55,319,23.47,2145,1417.61415147225,1863.4384996252868
42,1,0.0048,0.478,100,665.9,0.54,319,23.47,2586,1358.75936702728,2094.0917263527244
43,1,0.0048,0.478,100,706.7,0.53,319,23.47,2649,1405.4863947015,2169.961742759987
44,1,0.0048,0.478,100,937.8,0.48,319,23.47,3280,1631.62013236851,2605.1733143459305
45,1,0.0048,0.478,100,1386.3,0.43,319,23.47,4510,1561.4471479517,3359.2826234446356
46,1,0.0048,0.716,100,135.9,0.89,326,21.79,536,479.180926976444,821.7795586248131
47,1,0.0048,0.716,100,203.9,0.77,317,23.94,694,689.494896128321,940.643351179645
48,1,0.0048,0.716,100,271.8,0.71,317,23.94,883,837.680725680624,1063.0016085833022
49,1,0.0048,0.716,100,407.7,0.63,317,23.94,1167,1198.00347309614,1300.2880097977722
50,1,0.0048,0.716,100,557.2,0.6,317,23.94,1545,1242.05439837757,1565.5608907700546
51,1,0.0048,0.716,100,665.9,0.59,317,23.94,1829,1038.84655324943,1758.1228023128224
52,1,0.0048,0.716,100,951.4,0.55,317,23.94,2492,1102.66469495201,2258.477671053998
53,1,0.0048,0.716,100,937.8,0.55,317,23.94,2429,1109.93351009617,2230.2357353379484
54,1,0.0048,0.716,100,1413.4,0.53,317,23.94,3532,921.741582879715,2980.8344994523086
55,1,0.0048,0.955,100,203.9,0.93,317,23.94,631,327.713195886287,695.1442697770287
56,1,0.0048,0.955,100,271.8,0.75,317,23.94,694,757.327681997969,816.1751333388299
57,1,0.0048,0.955,100,407.7,0.68,317,23.94,946,929.970433135734,1046.517097973991
58,1,0.0048,0.955,100,543.6,0.63,317,23.94,1199,1114.3207223512,1277.0045902073089
59,1,0.0048,0.955,100,679.5,0.64,317,23.94,1482,806.834349819755,1503.4624194529483
60,1,0.0048,0.955,100,951.4,0.55,317,23.94,1861,1102.66469495201,1944.3351237054478
61,1,0.0048,0.955,100,1100.9,0.49,317,23.94,1987,1462.70776133015,2170.4881418866303
62,2,0.00384,0.799,7840,3862,0.268,174,260.22,2620,2488.09254622782,2729.0871232665195
63,2,0.00384,0.799,7840,3934,0.165,402,211.74,3061,3234.10757670701,3216.5478459934843
64,2,0.00384,0.799,7840,3934,0.214,271,240.12,2791,2883.92346585443,2823.113035696602
65,2,0.00384,0.799,7840,3982,0.288,68,281.04,2339,2285.07032628869,2428.680782657204
66,2,0.00384,0.799,7840,4054,0.172,319,229.87,2840,3143.9085413685,2883.8003209612443
67,2,0.00384,0.799,7840,4990,0.156,290,236.08,3130,3100.80446631842,3138.3167059703674
68,2,0.00384,0.799,7840,4990,0.181,243,246.01,3061,2990.11891416127,3000.3634682860275
69,2,0.00384,0.799,7840,4990,0.227,155,264.05,2930,2766.9557146114,2801.3261122581075
70,2,0.00384,0.799,7840,5013,0.085,564,175.2,4140,3766.34757565597,4045.1373070426116
71,2,0.00384,0.799,7840,5013,0.089,533,182.29,4000,3687.0586683099,3914.5389051485486
72,2,0.00384,0.799,7840,5013,0.105,479,194.54,3830,3435.0936669988,3678.6914151759556
73,2,0.00384,0.799,7840,5013,0.128,388,214.83,3461,3279.05933889537,3354.5840932269684
74,2,0.00384,0.799,7840,5013,0.129,347,223.8,3261,3272.27523767349,3220.970499903824
