Number,Reference ID,Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,CHF,CHF LUT,AI CHF
-,-,m,m,kPa,kg/m^2/s,-,kJ/kg,C,kW/m^2,kW/m^2,kW/m^2
1,1,0.004,0.396,100,77.5,0.84,317,23.94,442,469.094638639156,494.6035396630675
2,1,0.004,0.396,100,142.7,0.79,317,23.94,757,687.089931714041,657.9050476143232
3,1,0.004,0.396,100,203.9,0.7,317,23.94,978,903.629433347819,911.2353921852756
4,1,0.004,0.396,100,271.8,0.73,317,23.94,1325,873.622084295961,1227.3437242426276
5,1,0.004,0.396,100,421.3,0.62,317,23.94,1798,1372.80114662612,1747.182440198309
6,1,0.004,0.396,100,543.6,0.58,317,23.94,2239,1459.50097984951,2035.4401198372625
7,1,0.004,0.396,100,679.5,0.55,317,23.94,2712,1403.39341440738,2326.1947267144697
8,1,0.004,0.396,100,978.5,0.5,317,23.94,3564,1661.54537229653,2965.8954369119474
9,1,0.004,0.396,100,1372.7,0.45,317,23.94,4573,1548.74543581995,3784.5391206888844
10,1,0.004,0.396,100,1644.5,0.42,317,23.94,5236,1621.25018526383,4205.1127409447345
11,1,0.004,0.594,100,77.5,0.88,324,22.27,300,429.072394823997,343.63696611045293
12,1,0.004,0.594,100,135.9,0.81,324,22.27,505,648.410625097712,448.85436825822376
13,1,0.004,0.594,100,203.9,0.75,324,22.27,694,797.682563662466,611.576611858538
14,1,0.004,0.594,100,258.2,0.71,331,20.6,852,910.584252804857,774.5401997937349
15,1,0.004,0.594,100,407.7,0.63,331,20.6,1199,1312.34705236858,1220.4411244760872
16,1,0.004,0.594,100,543.6,0.6,331,20.6,1514,1397.22263494932,1546.249478106135
17,1,0.004,0.594,100,693.1,0.58,331,20.6,1892,1152.17370512681,1864.4006514509088
18,1,0.004,0.594,100,992.1,0.56,331,20.6,2618,1090.35571502545,2504.1019308567234
19,1,0.004,0.792,100,78.8,0.74,331,20.6,196,599.791730590277,270.3028202784999
20,1,0.004,0.792,100,135.9,0.76,331,20.6,347,745.335236519192,314.0596676358298
21,1,0.004,0.792,100,217.5,0.72,331,20.6,536,868.13620846616,457.44818086201144
22,1,0.004,0.792,100,244.6,0.75,331,20.6,631,816.820762248671,520.9252510542885
23,1,0.004,0.792,100,407.7,0.64,329,21.08,915,1253.62395551138,856.6674760154777
24,1,0.004,0.792,100,543.6,0.6,329,21.08,1135,1397.22263494932,1069.5867798339154
25,1,0.004,0.792,100,706.7,0.58,329,21.08,1451,1124.2161737808,1389.6268236109556
26,1,0.004,0.792,100,720.3,0.59,324,22.27,1482,1008.84389597135,1410.5927114573728
27,1,0.004,0.792,100,203.9,0.75,324,22.27,505,797.682563662466,423.0060484672647
28,1,0.004,0.991,100,78.8,0.95,329,21.08,196,207.380276786391,260.4674694236853
29,1,0.004,0.991,100,135.9,0.89,329,21.08,315,524.916405662468,265.61349226228094
30,1,0.004,0.991,100,203.9,0.8,329,21.08,442,691.735693977114,304.7815717429264
31,1,0.004,0.991,100,271.8,0.81,329,21.08,568,699.245309414672,413.97043532591806
32,1,0.004,0.991,100,421.3,0.72,329,21.08,820,850.379201555647,657.9986823857575
33,1,0.004,0.991,100,421.3,0.74,329,21.08,820,806.204685300005,657.9986823857575
34,1,0.004,0.991,100,421.3,0.7,329,21.08,789,894.553717811289,657.9986823857575
35,1,0.004,0.991,100,421.3,0.79,329,21.08,883,695.768394660899,657.9986823857575
36,1,0.0048,0.478,100,69.3,0.99,319,23.47,442,34.0603065409968,480.12306930620684
37,1,0.0048,0.478,100,135.9,0.83,319,23.47,757,563.731639109164,644.6426830986165
38,1,0.0048,0.478,100,203.9,0.74,319,23.47,1041,747.524386552049,897.7946757239795
39,1,0.0048,0.478,100,285.4,0.69,319,23.47,1325,907.899850239037,1212.167823600052
40,1,0.0048,0.478,100,407.7,0.58,319,23.47,1672,1376.97777740829,1661.978996104385
41,1,0.0048,0.478,100,543.6,0.55,319,23.47,2145,1417.61415147225,1997.9750642668569
42,1,0.0048,0.478,100,665.9,0.54,319,23.47,2586,1358.75936702728,2259.632357599606
