Number,Reference ID,Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,CHF,CHF LUT,AI CHF
-,-,m,m,kPa,kg/m^2/s,-,kJ/kg,C,kW/m^2,kW/m^2,kW/m^2
1,1,0.004,0.396,100,77.5,0.84,317,23.94,442,469.094638639156,532.3032836914062
2,1,0.004,0.396,100,142.7,0.79,317,23.94,757,687.089931714041,689.0755004882812
3,1,0.004,0.396,100,203.9,0.7,317,23.94,978,903.629433347819,853.63427734375
4,1,0.004,0.396,100,271.8,0.73,317,23.94,1325,873.622084295961,1032.09033203125
5,1,0.004,0.396,100,421.3,0.62,317,23.94,1798,1372.80114662612,1433.5869140625
6,1,0.004,0.396,100,543.6,0.58,317,23.94,2239,1459.50097984951,1742.115478515625
7,1,0.004,0.396,100,679.5,0.55,317,23.94,2712,1403.39341440738,2062.92578125
8,1,0.004,0.396,100,978.5,0.5,317,23.94,3564,1661.54537229653,2699.9736328125
9,1,0.004,0.396,100,1372.7,0.45,317,23.94,4573,1548.74543581995,3419.145263671875
10,1,0.004,0.396,100,1644.5,0.42,317,23.94,5236,1621.25018526383,3852.2685546875
11,1,0.004,0.594,100,77.5,0.88,324,22.27,300,429.072394823997,309.66217041015625
12,1,0.004,0.594,100,135.9,0.81,324,22.27,505,648.410625097712,452.97784423828125
13,1,0.004,0.594,100,203.9,0.75,324,22.27,694,797.682563662466,623.5390014648438
14,1,0.004,0.594,100,258.2,0.71,331,20.6,852,910.584252804857,763.7738647460938
15,1,0.004,0.594,100,407.7,0.63,331,20.6,1199,1312.34705236858,1139.7108154296875
16,1,0.004,0.594,100,543.6,0.6,331,20.6,1514,1397.22263494932,1457.9185791015625
17,1,0.004,0.594,100,693.1,0.58,331,20.6,1892,1152.17370512681,1784.6072998046875
18,1,0.004,0.594,100,992.1,0.56,331,20.6,2618,1090.35571502545,2372.146240234375
19,1,0.004,0.792,100,78.8,0.74,331,20.6,196,599.791730590277,145.46466064453125
20,1,0.004,0.792,100,135.9,0.76,331,20.6,347,745.335236519192,281.33209228515625
21,1,0.004,0.792,100,217.5,0.72,331,20.6,536,868.13620846616,479.77105712890625
22,1,0.004,0.792,100,244.6,0.75,331,20.6,631,816.820762248671,547.3451538085938
23,1,0.004,0.792,100,407.7,0.64,329,21.08,915,1253.62395551138,926.6438598632812
24,1,0.004,0.792,100,543.6,0.6,329,21.08,1135,1397.22263494932,1218.3426513671875
25,1,0.004,0.792,100,706.7,0.58,329,21.08,1451,1124.2161737808,1543.3751220703125
26,1,0.004,0.792,100,720.3,0.59,324,22.27,1482,1008.84389597135,1566.5830078125
27,1,0.004,0.792,100,203.9,0.75,324,22.27,505,797.682563662466,449.90447998046875
28,1,0.004,0.991,100,78.8,0.95,329,21.08,196,207.380276786391,50.0
29,1,0.004,0.991,100,135.9,0.89,329,21.08,315,524.916405662468,151.65228271484375
30,1,0.004,0.991,100,203.9,0.8,329,21.08,442,691.735693977114,310.71954345703125
31,1,0.004,0.991,100,271.8,0.81,329,21.08,568,699.245309414672,463.99090576171875
32,1,0.004,0.991,100,421.3,0.72,329,21.08,820,850.379201555647,780.2769165039062
33,1,0.004,0.991,100,421.3,0.74,329,21.08,820,806.204685300005,780.1875610351562
34,1,0.004,0.991,100,421.3,0.7,329,21.08,789,894.553717811289,780.1952514648438
35,1,0.004,0.991,100,421.3,0.79,329,21.08,883,695.768394660899,780.1331176757812
36,1,0.0048,0.478,100,69.3,0.99,319,23.47,442,34.0603065409968,463.97857666015625
37,1,0.0048,0.478,100,135.9,0.83,319,23.47,757,563.731639109164,624.5210571289062
38,1,0.0048,0.478,100,203.9,0.74,319,23.47,1041,747.524386552049,799.9302368164062
39,1,0.0048,0.478,100,285.4,0.69,319,23.47,1325,907.899850239037,1016.298095703125
40,1,0.0048,0.478,100,407.7,0.58,319,23.47,1672,1376.97777740829,1341.2738037109375
41,1,0.0048,0.478,100,543.6,0.55,319,23.47,2145,1417.61415147225,1675.83740234375
42,1,0.0048,0.478,100,665.9,0.54,319,23.47,2586,1358.75936702728,1954.810302734375
43,1,0.0048,0.478,100,706.7,0.53,319,23.47,2649,1405.4863947015,2043.66845703125
44,1,0.0048,0.478,100,937.8,0.48,319,23.47,3280,1631.62013236851,2516.256591796875
45,1,0.0048,0.478,100,1386.3,0.43,319,23.47,4510,1561.4471479517,3302.2607421875
46,1,0.0048,0.716,100,135.9,0.89,326,21.79,536,479.180926976444,386.26739501953125
47,1,0.0048,0.716,100,203.9,0.77,317,23.94,694,689.494896128321,560.5503540039062
48,1,0.0048,0.716,100,271.8,0.71,317,23.94,883,837.680725680624,731.7664184570312
49,1,0.0048,0.716,100,407.7,0.63,317,23.94,1167,1198.00347309614,1061.4024658203125
50,1,0.0048,0.716,100,557.2,0.6,317,23.94,1545,1242.05439837757,1393.412841796875
51,1,0.0048,0.716,100,665.9,0.59,317,23.94,1829,1038.84655324943,1617.1585693359375
52,1,0.0048,0.716,100,951.4,0.55,317,23.94,2492,1102.66469495201,2146.195556640625
53,1,0.0048,0.716,100,937.8,0.55,317,23.94,2429,1109.93351009617,2122.2822265625
54,1,0.0048,0.716,100,1413.4,0.53,317,23.94,3532,921.741582879715,2870.886474609375
55,1,0.0048,0.955,100,203.9,0.93,317,23.94,631,327.713195886287,383.91802978515625
56,1,0.0048,0.955,100,271.8,0.75,317,23.94,694,757.327681997969,543.1273803710938
57,1,0.0048,0.955,100,407.7,0.68,317,23.94,946,929.970433135734,840.0525512695312
58,1,0.0048,0.955,100,543.6,0.63,317,23.94,1199,1114.3207223512,1116.211181640625
59,1,0.0048,0.955,100,679.5,0.64,317,23.94,1482,806.834349819755,1369.7879638671875
60,1,0.0048,0.955,100,951.4,0.55,317,23.94,1861,1102.66469495201,1825.2025146484375
61,1,0.0048,0.955,100,1100.9,0.49,317,23.94,1987,1462.70776133015,2050.298583984375
62,2,0.00384,0.799,7840,3862,0.268,174,260.22,2620,2488.09254622782,2581.2041015625
63,2,0.00384,0.799,7840,3934,0.165,402,211.74,3061,3234.10757670701,3185.099365234375
64,2,0.00384,0.799,7840,3934,0.214,271,240.12,2791,2883.92346585443,2821.39697265625
65,2,0.00384,0.799,7840,3982,0.288,68,281.04,2339,2285.07032628869,2376.438232421875
66,2,0.00384,0.799,7840,4054,0.172,319,229.87,2840,3143.9085413685,2975.635009765625
67,2,0.00384,0.799,7840,4990,0.156,290,236.08,3130,3100.80446631842,3156.5087890625
68,2,0.00384,0.799,7840,4990,0.181,243,246.01,3061,2990.11891416127,3006.7021484375
69,2,0.00384,0.799,7840,4990,0.227,155,264.05,2930,2766.9557146114,2756.53857421875
70,2,0.00384,0.799,7840,5013,0.085,564,175.2,4140,3766.34757565597,4312.0693359375
71,2,0.00384,0.799,7840,5013,0.089,533,182.29,4000,3687.0586683099,4162.1103515625
72,2,0.00384,0.799,7840,5013,0.105,479,194.54,3830,3435.0936669988,3908.58056640625
73,2,0.00384,0.799,7840,5013,0.128,388,214.83,3461,3279.05933889537,3520.569091796875
74,2,0.00384,0.799,7840,5013,0.129,347,223.8,3261,3272.27523767349,3363.201904296875
75,2,0.00384,0.799,7840,5013,0.198,199,255.13,2970,2917.26857544799,2882.098876953125
76,2,0.00384,0.799,7840,5013,0.241,104,274.13,2740,2698.19702030545,2632.67333984375
77,2,0.00384,0.799,7840,5013,0.265,41,286.11,2610,2512.04860791994,2486.8740234375
78,2,0.00384,0.799,7840,7460,-0.006,634,159.04,5652,7215.17448875589,5916.2890625
79,2,0.00384,0.799,7840,7460,0.028,586,170.14,5620,5656.46871164915,5635.2236328125
80,2,0.00384,0.799,7840,7460,0.034,542,180.24,5320,5409.36880087879,5364.5166015625
81,2,0.00384,0.799,7840,7460,0.041,497,190.48,5011,5121.0855716467,5105.63134765625
82,2,0.00384,0.799,7840,7460,0.043,457,199.49,4711,5038.71893472325,4877.990234375
83,2,0.00384,0.799,7840,7460,0.05,416,208.64,4420,4750.43570549116,4652.28076171875
