Number,Reference ID,Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,CHF,CHF LUT,AI CHF
-,-,m,m,kPa,kg/m^2/s,-,kJ/kg,C,kW/m^2,kW/m^2,kW/m^2
1,1,0.004,0.396,100,77.5,0.84,317,23.94,442,469.094638639156,572.6010131835938
2,1,0.004,0.396,100,142.7,0.79,317,23.94,757,687.089931714041,666.9486694335938
3,1,0.004,0.396,100,203.9,0.7,317,23.94,978,903.629433347819,795.1552124023438
4,1,0.004,0.396,100,271.8,0.73,317,23.94,1325,873.622084295961,949.0568237304688
5,1,0.004,0.396,100,421.3,0.62,317,23.94,1798,1372.80114662612,1340.19580078125
6,1,0.004,0.396,100,543.6,0.58,317,23.94,2239,1459.50097984951,1730.1405029296875
7,1,0.004,0.396,100,679.5,0.55,317,23.94,2712,1403.39341440738,2011.13330078125
8,1,0.004,0.396,100,978.5,0.5,317,23.94,3564,1661.54537229653,2637.30224609375
9,1,0.004,0.396,100,1372.7,0.45,317,23.94,4573,1548.74543581995,3471.358154296875
10,1,0.004,0.396,100,1644.5,0.42,317,23.94,5236,1621.25018526383,3808.748779296875
11,1,0.004,0.594,100,77.5,0.88,324,22.27,300,429.072394823997,447.70819091796875
12,1,0.004,0.594,100,135.9,0.81,324,22.27,505,648.410625097712,510.88311767578125
13,1,0.004,0.594,100,203.9,0.75,324,22.27,694,797.682563662466,604.4622192382812
14,1,0.004,0.594,100,258.2,0.71,331,20.6,852,910.584252804857,687.8109741210938
15,1,0.004,0.594,100,407.7,0.63,331,20.6,1199,1312.34705236858,1008.5371704101562
16,1,0.004,0.594,100,543.6,0.6,331,20.6,1514,1397.22263494932,1355.0660400390625
17,1,0.004,0.594,100,693.1,0.58,331,20.6,1892,1152.17370512681,1636.7894287109375
18,1,0.004,0.594,100,992.1,0.56,331,20.6,2618,1090.35571502545,2187.162841796875
19,1,0.004,0.792,100,78.8,0.74,331,20.6,196,599.791730590277,374.07159423828125
20,1,0.004,0.792,100,135.9,0.76,331,20.6,347,745.335236519192,407.59942626953125
21,1,0.004,0.792,100,217.5,0.72,331,20.6,536,868.13620846616,490.38531494140625
22,1,0.004,0.792,100,244.6,0.75,331,20.6,631,816.820762248671,520.3466186523438
23,1,0.004,0.792,100,407.7,0.64,329,21.08,915,1253.62395551138,762.4978637695312
24,1,0.004,0.792,100,543.6,0.6,329,21.08,1135,1397.22263494932,1040.5350341796875
25,1,0.004,0.792,100,706.7,0.58,329,21.08,1451,1124.2161737808,1291.4991455078125
26,1,0.004,0.792,100,720.3,0.59,324,22.27,1482,1008.84389597135,1309.56396484375
27,1,0.004,0.792,100,203.9,0.75,324,22.27,505,797.682563662466,474.54046630859375
28,1,0.004,0.991,100,78.8,0.95,329,21.08,196,207.380276786391,340.15484619140625
29,1,0.004,0.991,100,135.9,0.89,329,21.08,315,524.916405662468,359.25555419921875
30,1,0.004,0.991,100,203.9,0.8,329,21.08,442,691.735693977114,386.92205810546875
31,1,0.004,0.991,100,271.8,0.81,329,21.08,568,699.245309414672,442.99615478515625
32,1,0.004,0.991,100,421.3,0.72,329,21.08,820,850.379201555647,614.0077514648438
33,1,0.004,0.991,100,421.3,0.74,329,21.08,820,806.204685300005,614.0077514648438
34,1,0.004,0.991,100,421.3,0.7,329,21.08,789,894.553717811289,614.0077514648438
35,1,0.004,0.991,100,421.3,0.79,329,21.08,883,695.768394660899,614.0077514648438
36,1,0.0048,0.478,100,69.3,0.99,319,23.47,442,34.0603065409968,541.4946899414062
37,1,0.0048,0.478,100,135.9,0.83,319,23.47,757,563.731639109164,636.4407348632812
38,1,0.0048,0.478,100,203.9,0.74,319,23.47,1041,747.524386552049,761.3571166992188
39,1,0.0048,0.478,100,285.4,0.69,319,23.47,1325,907.899850239037,946.0841064453125
40,1,0.0048,0.478,100,407.7,0.58,319,23.47,1672,1376.97777740829,1254.4163818359375
41,1,0.0048,0.478,100,543.6,0.55,319,23.47,2145,1417.61415147225,1678.5328369140625
42,1,0.0048,0.478,100,665.9,0.54,319,23.47,2586,1358.75936702728,1961.959716796875
43,1,0.0048,0.478,100,706.7,0.53,319,23.47,2649,1405.4863947015,2022.6690673828125
44,1,0.0048,0.478,100,937.8,0.48,319,23.47,3280,1631.62013236851,2434.29833984375
45,1,0.0048,0.478,100,1386.3,0.43,319,23.47,4510,1561.4471479517,3283.681396484375
46,1,0.0048,0.716,100,135.9,0.89,326,21.79,536,479.180926976444,475.08648681640625
47,1,0.0048,0.716,100,203.9,0.77,317,23.94,694,689.494896128321,553.3182983398438
48,1,0.0048,0.716,100,271.8,0.71,317,23.94,883,837.680725680624,648.6708374023438
49,1,0.0048,0.716,100,407.7,0.63,317,23.94,1167,1198.00347309614,921.1436767578125
50,1,0.0048,0.716,100,557.2,0.6,317,23.94,1545,1242.05439837757,1266.67236328125
51,1,0.0048,0.716,100,665.9,0.59,317,23.94,1829,1038.84655324943,1487.9610595703125
52,1,0.0048,0.716,100,951.4,0.55,317,23.94,2492,1102.66469495201,1959.7806396484375
53,1,0.0048,0.716,100,937.8,0.55,317,23.94,2429,1109.93351009617,1939.545166015625
54,1,0.0048,0.716,100,1413.4,0.53,317,23.94,3532,921.741582879715,2641.209716796875
55,1,0.0048,0.955,100,203.9,0.93,317,23.94,631,327.713195886287,420.00372314453125
56,1,0.0048,0.955,100,271.8,0.75,317,23.94,694,757.327681997969,490.15802001953125
57,1,0.0048,0.955,100,407.7,0.68,317,23.94,946,929.970433135734,660.8539428710938
58,1,0.0048,0.955,100,543.6,0.63,317,23.94,1199,1114.3207223512,902.9854736328125
59,1,0.0048,0.955,100,679.5,0.64,317,23.94,1482,806.834349819755,1103.3885498046875
60,1,0.0048,0.955,100,951.4,0.55,317,23.94,1861,1102.66469495201,1506.8270263671875
61,1,0.0048,0.955,100,1100.9,0.49,317,23.94,1987,1462.70776133015,1754.4642333984375
62,2,0.00384,0.799,7840,3862,0.268,174,260.22,2620,2488.09254622782,2660.912353515625
63,2,0.00384,0.799,7840,3934,0.165,402,211.74,3061,3234.10757670701,3271.094970703125
64,2,0.00384,0.799,7840,3934,0.214,271,240.12,2791,2883.92346585443,2934.464111328125
65,2,0.00384,0.799,7840,3982,0.288,68,281.04,2339,2285.07032628869,2315.310546875
66,2,0.00384,0.799,7840,4054,0.172,319,229.87,2840,3143.9085413685,3110.304931640625
67,2,0.00384,0.799,7840,4990,0.156,290,236.08,3130,3100.80446631842,3267.557861328125
68,2,0.00384,0.799,7840,4990,0.181,243,246.01,3061,2990.11891416127,3081.822509765625
69,2,0.00384,0.799,7840,4990,0.227,155,264.05,2930,2766.9557146114,2740.072998046875
70,2,0.00384,0.799,7840,5013,0.085,564,175.2,4140,3766.34757565597,4333.32470703125
71,2,0.00384,0.799,7840,5013,0.089,533,182.29,4000,3687.0586683099,4191.77685546875
72,2,0.00384,0.799,7840,5013,0.105,479,194.54,3830,3435.0936669988,3967.09423828125
73,2,0.00384,0.799,7840,5013,0.128,388,214.83,3461,3279.05933889537,3670.133056640625
74,2,0.00384,0.799,7840,5013,0.129,347,223.8,3261,3272.27523767349,3500.823486328125
75,2,0.00384,0.799,7840,5013,0.198,199,255.13,2970,2917.26857544799,2911.306640625
76,2,0.00384,0.799,7840,5013,0.241,104,274.13,2740,2698.19702030545,2549.274169921875
77,2,0.00384,0.799,7840,5013,0.265,41,286.11,2610,2512.04860791994,2346.982666015625
78,2,0.00384,0.799,7840,7460,-0.006,634,159.04,5652,7215.17448875589,6042.158203125
79,2,0.00384,0.799,7840,7460,0.028,586,170.14,5620,5656.46871164915,5683.86328125
80,2,0.00384,0.799,7840,7460,0.034,542,180.24,5320,5409.36880087879,5362.03515625
81,2,0.00384,0.799,7840,7460,0.041,497,190.48,5011,5121.0855716467,5049.3681640625
82,2,0.00384,0.799,7840,7460,0.043,457,199.49,4711,5038.71893472325,4795.4267578125
83,2,0.00384,0.799,7840,7460,0.05,416,208.64,4420,4750.43570549116,4573.875
84,2,0.00384,0.799,7840,7460,0.055,384,215.71,4200,4660.9050754875,4409.86962890625
85,2,0.00384,0.799,7840,7460,0.067,328,227.92,3850,4446.0315634787,4072.78466796875
86,2,0.00384,0.799,7840,7460,0.077,286,236.93,3620,4266.97030347137,3845.0419921875
87,2,0.00384,0.799,7840,7460,0.099,243,246.01,3520,3873.03553145524,3618.595458984375
88,2,0.00384,0.799,7840,7460,0.13,194,256.15,3480,3743.41905656954,3364.981201171875
89,2,0.00384,0.799,7840,7460,0.168,150,265.05,3580,3608.23281435494,3144.39697265625
90,2,0.00384,0.799,7840,7460,0.194,99,275.1,3450,3520.53672637863,2936.96435546875
91,2,0.00384,0.799,7840,7460,0.217,41,286.11,3270,3473.52632712003,2740.803955078125
92,2,0.00384,0.799,7840,7460,0.129,194,256.15,3500,3747.14273486571,3364.981201171875
93,2,0.00384,0.799,7840,7460,0.167,145,266.05,3520,3611.60574081557,3120.0537109375
94,2,0.00384,0.799,7840,7460,0.189,99,275.1,3390,3537.40135868177,2936.96435546875
95,2,0.00384,0.799,7840,7460,0.21,47,285,3220,3484.55043791202,2761.095703125
96,2,0.00384,1.549,7840,3958,0.317,233,248.1,1700,1951.17945572483,1853.2222900390625
97,2,0.00384,1.549,7840,3958,0.32,174,260.22,1580,1911.07738037204,1770.5042724609375
98,2,0.00384,1.549,7840,3958,0.336,99,275.1,1439,1697.19964515712,1665.3548583984375
99,2,0.00384,1.549,7840,3982,0.339,31,287.96,1339,1650.28642549582,1526.04296875
100,2,0.00607,0.792,7840,1604,0.312,384,215.71,2620,2865.7842017095,2724.422607421875
101,2,0.00607,0.792,7840,1604,0.357,300,233.95,2520,2608.61101961971,2516.631103515625
102,2,0.00607,0.792,7840,1604,0.385,199,255.13,2330,2447.24735354094,2301.537353515625
103,2,0.00607,0.792,7840,2199,0.181,488,192.51,3161,3312.05008892243,3248.48974609375
104,2,0.00607,0.792,7840,2199,0.21,393,213.73,2940,3072.05353744876,3004.32666015625
105,2,0.00607,0.792,7840,2199,0.318,47,285,2210,2288.72726183524,2206.542236328125
106,2,0.00607,0.792,7840,2208,0.154,568,174.28,3330,3542.26101592045,3463.560546875
107,2,0.00607,0.792,7840,2208,0.255,262,242.02,2680,2736.8846687365,2677.646240234375
108,2,0.00607,0.792,7840,2208,0.291,165,262.04,2480,2459.62069935704,2440.4677734375
109,2,0.00607,0.792,7840,2698,0.079,630,159.97,3830,4021.27566148729,3853.87939453125
110,2,0.00607,0.792,7840,2698,0.125,479,194.54,3420,3442.28599064866,3448.5126953125
