Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,Enthalpy value of water,Enthalpy value of air,Enthalpy Temperature,H/D,121 AI Data,202 AI Data,302 AI Data,401 AI Data,501 AI Data,701 AI Data,801 AI Data,601 AI Data,LUT Data,X Data
0.008,1.76,9839,0,0.224,436,223,1400.8833800826458,2728.38759614886,582.9585497692747,220.0,277.62018318659216,351.66840087729656,287.95643737795604,139.87,366.0453497936419,569.0090429682442,373.5998772588262,366.2824781174616,,
0.008,1.76,9839,400,0.224,436,223,1400.8833800826458,2728.38759614886,582.9585497692747,220.0,748.5707334950534,832.5180533743152,690.7390715890228,1058.4808999999998,510.3939625703654,666.8589106888778,798.2320598782651,510.6074511789316,536.2849539342516,0.8884272338887449
0.008,1.76,9839,800,0.224,436,223,1400.8833800826458,2728.38759614886,582.9585497692747,220.0,1140.0263589702008,1179.147194158876,1038.3450687479117,1329.8944,654.7425753470891,764.7087784095106,1070.6340464187367,654.9324242404018,797.2435858027176,0.660285620018904
0.008,1.76,9839,1200,0.224,436,223,1400.8833800826458,2728.38759614886,582.9585497692747,220.0,1420.103139219823,1289.9787455683872,1308.7197403276027,1540.2804999999998,799.0911881238127,862.5586461301455,1377.2120374484832,799.2573973018718,902.7865334011564,0.4983844494204714
0.008,1.76,9839,1600,0.224,436,223,1400.8833800826458,2728.38759614886,582.9585497692747,220.0,1618.1882334169763,1461.2583961559358,1516.8662796744247,1738.496,943.4398009005362,960.408513850789,1644.5475966021668,943.582370363342,988.6660713123388,0.40928709125447005
0.008,1.76,9839,2000,0.224,436,223,1400.8833800826458,2728.38759614886,582.9585497692747,220.0,1784.5326935622484,1640.267575780091,1733.5094393014938,1833.2515,1087.7884136772598,1058.258381571417,1742.2104345378398,1087.907343424812,1069.5526685892567,0.3541737709673848
0.008,1.76,9839,2400,0.224,436,223,1400.8833800826458,2728.38759614886,582.9585497692747,220.0,1920.859181253505,1831.0773262064656,1955.7802906053205,1986.6847,1232.1370264539833,1156.1082492920502,1923.6106415098045,1232.232316486282,1136.945737502774,0.31370454324059593
0.008,1.76,9839,2800,0.224,436,223,1400.8833800826458,2728.38759614886,582.9585497692747,220.0,2039.5572986067525,2031.6160122102792,2113.9710429178594,2104.4265,1376.485639230707,1253.9581170126894,2117.4829435205943,1376.557289547752,1213.2675946190748,0.2869118365011421
0.008,1.76,9839,3200,0.224,436,223,1400.8833800826458,2728.38759614886,582.9585497692747,220.0,2147.760530520221,2235.05659791404,2236.5955000871145,2226.7925,1520.8342520074305,1351.8079847333202,2283.5035447149944,1520.8822626092222,1287.473579167893,0.26637899148753624
0.008,1.76,9839,3600,0.224,436,223,1400.8833800826458,2728.38759614886,582.9585497692747,220.0,2286.0789627867675,2432.282495843523,2362.2066882686013,2441.978,1665.1828647841542,1449.657852453955,2436.392265043601,1665.2072356706922,1353.260469357563,0.24885872272383028
0.008,1.76,9839,4000,0.224,436,223,1400.8833800826458,2728.38759614886,582.9585497692747,220.0,2450.3288666955013,2610.772711624937,2502.960810443147,2600.2626,1809.5314775608776,1547.5077201745898,2562.642224227939,1809.5322087321624,1397.5897596751759,0.23128645725764252
0.008,1.76,9839,4400,0.224,436,223,1400.8833800826458,2728.38759614886,582.9585497692747,220.0,2579.9209082497696,2774.7409522749176,2659.661067008269,2708.1242,1953.880090337601,1645.3575878952247,2691.6759130880628,1953.857181793632,1483.1608537024142,0.22312258383494957
0.008,1.76,9839,4800,0.224,436,223,1400.8833800826458,2728.38759614886,582.9585497692747,220.0,2749.953636824104,2932.1019174171984,2830.7290432455,2771.6742000000004,2098.2287031143246,1743.2074556158595,2820.7096019481883,2098.1821548551025,1566.7815157667942,0.21604999398078997
0.008,1.76,9839,5200,0.224,436,223,1400.8833800826458,2728.38759614886,582.9585497692747,220.0,2949.133484672383,3079.8887983313425,3019.8591384320325,2964.902,2242.5773158910483,1841.0573233364903,2949.7432908083115,2242.507127916572,1667.5934691410118,0.2122570475760252
0.008,1.76,9839,5600,0.224,436,223,1400.8833800826458,2728.38759614886,582.9585497692747,220.0,3165.5925054024365,3197.948678978235,3224.500730009823,3336.646000000001,2386.925928667772,1938.9071910571288,3078.776979668437,2386.8321009780425,1783.8111746239908,0.2108296012898012
