Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,Enthalpy value of water,Enthalpy value of air,Enthalpy Temperature,H/D,110 AI Data,111 AI Data,112 AI Data,113 AI Data,114 AI Data,115 AI Data,116 AI Data,117 AI Data,118 AI Data,119 AI Data,120 AI Data,200 AI Data,201 AI Data,300 AI Data,301 AI Data,401 AI Data,501 AI Data,601 AI Data,801 AI Data
0.01,4.966,16000,0,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,50.0,65.8991577855702,101.34148409646104,52.79256661808586,57.4610236619485,120.51982059459556,96.99804501301831,704.1235312930135,52.49525013006587,191.7012204960604,1211.374015140094,79.6113866236094,269.91120494265215,193.4735455213284,792.4682701796755,379.49,-1096.340170777822,-1094.6933431306093,-191.2385057266242
0.01,4.966,16000,400,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,119.71059607551092,151.19028368040426,176.1739760074788,166.28758613844752,150.06344090928042,190.5669780165556,179.1530227071612,759.7729433030884,155.64680548679507,425.7539017140739,1138.7625741600034,164.9655049077369,362.65611401034334,271.07627954041027,803.3105505826217,379.49,-872.4400354921218,-871.576959161916,81.03155206834847
0.01,4.966,16000,800,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,240.4962257121265,232.17164865173413,250.9149202442975,260.73670496708064,240.22395439093407,254.87129765858845,247.40053310367784,815.9688901847279,247.64330045940324,454.9677606655305,728.721774707891,260.3234597144274,513.9570025928822,323.34962203575355,896.5358714867307,379.49,-648.539900206421,-648.4605751932222,103.38300334600743
0.01,4.966,16000,1200,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,317.5198851163793,320.6095479695498,334.2798451267645,323.20105865979986,313.4730984445637,317.53885872761225,322.0790541595404,868.7117346900302,320.79577396380114,456.4785344599527,499.63828227178215,364.7204429124863,750.4774865559068,412.2056997451432,1015.8277087109776,732.4078000000002,-424.6397649207204,-425.34419122452846,260.1890235581971
0.01,4.966,16000,1600,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,392.8111589470093,396.63434161044506,415.3650906195946,397.9333699035076,393.5113800695608,390.92034371959153,408.0027602528805,916.4416562395356,409.7341971459416,441.79893605320217,447.7316996815714,469.6136809123425,906.2572858060914,465.58055524061433,1160.3963805558478,1149.13641,-200.73962963502024,-202.2278072558352,418.0654611590497
0.01,4.966,16000,2000,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,468.5553328777694,471.229568512995,490.2585826907264,480.9102844362613,474.1477099206197,467.9030201235812,484.5720016681046,960.2581756041932,490.3133215591333,469.346627334239,497.08471880399793,564.9870043441315,1037.1760571258224,515.7693619378517,1287.7562241825897,1382.13881,23.160505650680307,20.8885767128586,544.6857771971856
0.01,4.966,16000,2400,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,554.4436531861602,553.181243962777,564.6177778695387,568.282341143067,564.1189616302249,551.6766365920055,558.5659548306828,1002.4028352150608,576.1285934642772,561.7874842819224,578.3597952772138,654.4630448005571,1159.7094409611595,574.8689354145229,1388.7491043553202,1529.79831,247.06064093638065,244.0049606815521,537.3303654877138
0.01,4.966,16000,2800,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,644.1398824009439,645.7804356961992,647.5887157147538,649.615761470824,662.6895282908752,640.9413110192963,638.7918854707737,1040.7934709754368,661.8405540562578,678.6493711155676,688.015125092367,741.6949813884078,1282.7765999145067,638.6826923381282,1486.2446024864987,1654.8461999999993,470.960776222081,467.1213446502457,529.9749537782438
0.01,4.966,16000,3200,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,739.6643306462033,736.3415769790361,734.7871638787783,735.0573481027352,755.5059678729144,736.3035348885142,731.6170529139802,1075.9733922429764,737.9730229408997,814.1364188118514,831.5352203124494,829.179646477881,1407.0011965870913,714.0872386278188,1578.8624120759432,1834.64378,694.8609115077813,690.2377286189392,610.4929332939894
0.01,4.966,16000,3600,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,840.229213583547,828.8554823299663,831.2667437135034,824.0428258407334,851.1714849176907,832.0692326006002,824.9732917355963,1110.96794132877,830.4995457432998,935.0906289842716,981.7911372563344,917.6759845182942,1532.2698162177676,808.2715807116963,1679.1180963012323,1872.56828,918.7610467934818,913.3541125876328,731.8799283042392
0.01,4.966,16000,4000,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,940.6320618809616,919.7994162194276,925.5941468260772,917.7512148868328,952.07485707943,924.71424560515,910.964733621038,1142.5017985937334,921.6691707383768,1045.1609116770892,1095.8600136484365,1006.8781408965724,1657.2358067492787,907.1763675342148,1790.750927030124,1927.80004,1142.6611820791825,1136.4704965563262,853.2669233144891
0.01,4.966,16000,4400,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,1041.907269388838,1010.5156667740938,1014.8534137741664,1007.2546722114898,1050.286869921806,1017.6626466533144,999.083591665972,1172.5505913074949,1013.1207435963752,1149.9754566243569,1200.0913097864036,1095.65585759157,1774.3706882730448,992.4834312624844,1890.96550967008,1986.9841800000008,1366.5613173648826,1359.58688052502,910.6690797663848
0.01,4.966,16000,4800,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,1139.9243758098237,1106.1114557975889,1106.4258011016905,1106.9318273132728,1151.4704348874277,1116.6762471362536,1085.0646454992634,1195.0353641671363,1109.2617393386486,1248.5549408822867,1289.2196113829575,1183.6159065104844,1876.9642178649065,1061.9900305004185,1991.179878856909,2034.4359000000009,1590.461452650583,1582.7032644937133,890.8112424117683
0.01,4.966,16000,5200,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,1229.4032623079345,1202.6937777371404,1201.9519095379328,1214.7557293041675,1246.3189482325138,1217.1432262396354,1172.1474969368514,1215.2620875539465,1208.7420906579182,1343.5327593879251,1368.5866066425335,1271.954099501271,1960.4817261572075,1134.7412121272396,2089.360300636582,2050.8889000000004,1814.3615879362835,1805.819648462407,870.953405057154
0.01,4.966,16000,5600,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,1318.0372064638143,1297.0949881974102,1297.0345572456336,1317.03900477685,1332.9428754484052,1314.6558243379377,1264.5968920095895,1235.8148724497946,1315.5731984410495,1439.1597125678704,1447.7912826580118,1361.7463351888932,2022.7012372554725,1231.3268544487569,2174.87446133146,2093.2960000000003,2038.261723221984,2028.9360324311008,986.9437453983408
0.01,4.966,16000,6000,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,1415.324374343655,1387.0506341117764,1386.243259519787,1413.4198506821217,1425.8101643085486,1418.0531828281894,1359.00303560878,1254.1569470328377,1417.321275774879,1528.9760684587727,1534.0747758543562,1453.0054919119757,2061.94421506646,1331.1778552634617,2242.4872332811924,2353.40513,2262.161858507684,2252.0524163997943,1065.650406923048
0.01,4.966,16000,6400,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,1505.0017722492903,1483.7825392588854,1475.5792984423276,1497.6096295959262,1515.4891038200965,1526.4656936735578,1450.72529074803,1269.897265175565,1514.67534935133,1610.2338789457665,1618.9403355077427,1544.7356922509298,2077.144425648428,1431.0293778524754,2313.432316854751,2492.7708099999995,2486.0619937933843,2475.168800368488,1142.60697531113
0.01,4.966,16000,6800,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,1589.4812782066217,1573.6546064157703,1563.8313275211028,1579.476350701413,1600.377870571722,1632.0637183211682,1533.5033618350626,1283.520507776922,1610.5288237323823,1683.4233272750546,1712.6029507167427,1635.017186221207,2071.7271038862154,1530.8808530074607,2384.378254240816,2581.0031299999987,2709.9621290790847,2698.285184337181,1219.5635436992122
0.01,4.966,16000,7200,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,1671.0312704480957,1661.0067645477957,1656.8973531004042,1667.7822766945965,1683.4292565285648,1725.6506525383627,1613.881769158424,1298.5514025956502,1703.1356049102978,1754.8718459764116,1800.262837105952,1723.577157010293,2056.581893059809,1640.88171600018,2455.323907022711,2638.026089999998,2933.862264364786,2921.401568305875,1296.5201120872923
0.01,4.966,16000,7600,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,1745.686691132282,1746.6458605433882,1744.8431658816403,1762.2226320865414,1764.7943449993204,1812.362415715756,1690.1423099188885,1310.335533060199,1798.521118887304,1819.4842718655395,1885.144251583225,1810.599079438809,2036.068430973241,1758.2208603073757,2525.9072586981138,2657.475859999998,3157.7623996504863,3144.5179522745684,1373.4766804753742
0.01,4.966,16000,8000,0.344,154,327,1649.6719434728557,2580.8044282594847,620.5065344459691,496.6,1816.818205259338,1828.059823850829,1830.079610718289,1852.6583815161423,1847.13293981617,1884.6771449916844,1763.776078718477,1320.8461547387938,1889.4385252965603,1879.3243038613964,1957.3566775190875,1896.1774183736816,2014.1476249904847,1879.462236085806,2593.06520946958,2691.2452799999987,3381.6625349361857,3367.634336243262,1450.4332488634575
