Number,Reference ID,Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,CHF,CHF LUT,Enthalpy value of water,Enthalpy value of air,Enthalpy Temperature,H/D
1,1,0.004,0.396,100,77.5,0.84,317,23.94,442,469.094638639156,417.4364858162317,2674.9496408321465,372.7559186113376,99.0
2,1,0.004,0.396,100,142.7,0.79,317,23.94,757,687.089931714041,417.4364858162317,2674.9496408321465,372.7559186113376,99.0
3,1,0.004,0.396,100,203.9,0.7,317,23.94,978,903.629433347819,417.4364858162317,2674.9496408321465,372.7559186113376,99.0
4,1,0.004,0.396,100,271.8,0.73,317,23.94,1325,873.622084295961,417.4364858162317,2674.9496408321465,372.7559186113376,99.0
5,1,0.004,0.396,100,421.3,0.62,317,23.94,1798,1372.80114662612,417.4364858162317,2674.9496408321465,372.7559186113376,99.0
6,1,0.004,0.396,100,543.6,0.58,317,23.94,2239,1459.50097984951,417.4364858162317,2674.9496408321465,372.7559186113376,99.0
7,1,0.004,0.396,100,679.5,0.55,317,23.94,2712,1403.39341440738,417.4364858162317,2674.9496408321465,372.7559186113376,99.0
8,1,0.004,0.396,100,978.5,0.5,317,23.94,3564,1661.54537229653,417.4364858162317,2674.9496408321465,372.7559186113376,99.0
9,1,0.004,0.396,100,1372.7,0.45,317,23.94,4573,1548.74543581995,417.4364858162317,2674.9496408321465,372.7559186113376,99.0
10,1,0.004,0.396,100,1644.5,0.42,317,23.94,5236,1621.25018526383,417.4364858162317,2674.9496408321465,372.7559186113376,99.0
11,1,0.004,0.594,100,77.5,0.88,324,22.27,300,429.072394823997,417.4364858162317,2674.9496408321465,372.7559186113376,148.5
12,1,0.004,0.594,100,135.9,0.81,324,22.27,505,648.410625097712,417.4364858162317,2674.9496408321465,372.7559186113376,148.5
13,1,0.004,0.594,100,203.9,0.75,324,22.27,694,797.682563662466,417.4364858162317,2674.9496408321465,372.7559186113376,148.5
14,1,0.004,0.594,100,258.2,0.71,331,20.6,852,910.584252804857,417.4364858162317,2674.9496408321465,372.7559186113376,148.5
15,1,0.004,0.594,100,407.7,0.63,331,20.6,1199,1312.34705236858,417.4364858162317,2674.9496408321465,372.7559186113376,148.5
16,1,0.004,0.594,100,543.6,0.6,331,20.6,1514,1397.22263494932,417.4364858162317,2674.9496408321465,372.7559186113376,148.5
17,1,0.004,0.594,100,693.1,0.58,331,20.6,1892,1152.17370512681,417.4364858162317,2674.9496408321465,372.7559186113376,148.5
18,1,0.004,0.594,100,992.1,0.56,331,20.6,2618,1090.35571502545,417.4364858162317,2674.9496408321465,372.7559186113376,148.5
19,1,0.004,0.792,100,78.8,0.74,331,20.6,196,599.791730590277,417.4364858162317,2674.9496408321465,372.7559186113376,198.0
20,1,0.004,0.792,100,135.9,0.76,331,20.6,347,745.335236519192,417.4364858162317,2674.9496408321465,372.7559186113376,198.0
21,1,0.004,0.792,100,217.5,0.72,331,20.6,536,868.13620846616,417.4364858162317,2674.9496408321465,372.7559186113376,198.0
22,1,0.004,0.792,100,244.6,0.75,331,20.6,631,816.820762248671,417.4364858162317,2674.9496408321465,372.7559186113376,198.0
23,1,0.004,0.792,100,407.7,0.64,329,21.08,915,1253.62395551138,417.4364858162317,2674.9496408321465,372.7559186113376,198.0
24,1,0.004,0.792,100,543.6,0.6,329,21.08,1135,1397.22263494932,417.4364858162317,2674.9496408321465,372.7559186113376,198.0
25,1,0.004,0.792,100,706.7,0.58,329,21.08,1451,1124.2161737808,417.4364858162317,2674.9496408321465,372.7559186113376,198.0
26,1,0.004,0.792,100,720.3,0.59,324,22.27,1482,1008.84389597135,417.4364858162317,2674.9496408321465,372.7559186113376,198.0
27,1,0.004,0.792,100,203.9,0.75,324,22.27,505,797.682563662466,417.4364858162317,2674.9496408321465,372.7559186113376,198.0
